
n		Pivot type		Random			Sorted			Almost Sorted


10000		FIRST			0.001483		0.318268		0.002944		
10000		RANDOM			0.001506		0.249845		0.008063		
10000		MEDIAN OF THREE 1	0.001474		0.158850		0.005886		
10000		MEDIAN OF THREE 2	0.001497		0.158525		0.005130		

100000		FIRST			0.018312		31.895586		0.091905		
100000		RANDOM			0.018548		23.701381		0.082514		
100000		MEDIAN OF THREE 1	0.018566		15.982230		0.060788		
100000		MEDIAN OF THREE 2	0.018504		15.914161		0.051775		

1000000		FIRST			0.224354		too slow		1.194337		
1000000		RANDOM			0.223337		too slow		0.870412		
1000000		MEDIAN OF THREE 1	0.221376		too slow		1.125988		
1000000		MEDIAN OF THREE 2	0.221834		too slow		1.151718		

10000000	FIRST			2.612835		too slow		too slow		
10000000	RANDOM			2.601000		too slow		too slow		
10000000	MEDIAN OF THREE 1	2.563897		too slow		too slow		
10000000	MEDIAN OF THREE 2	2.553302		too slow		too slow		
